产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
04312X0012022C,中华绒螯蟹-成蟹,摇篮到大门,11.746kgCO2e / 千克,-,2022,核心数据库,否
17100H2782021C,2021 年天津市电力平均二氧化碳排放因子,摇篮到大门,0.7355kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3082021C,2021年全国化石能源电力二氧化碳排放因子,摇篮到大门,0.8426kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3012021C,2021年云南省电力平均二氧化碳排放因子,摇篮到大门,0.1235kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2852021C,2021年上海市电力平均二氧化碳排放因子,摇篮到大门,0.5834kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2842021C,2021 年黑龙江省电力平均二氧化碳排放因子,摇篮到大门,0.6342kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2742021C,2021 年西北区域电力平均二氧化碳排放因子,摇篮到大门,0.5951kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2792021C,2021 年河北省电力平均二氧化碳排放因子,摇篮到大门,0.7901kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2832021C,2021 年吉林省电力平均二氧化碳排放因子,摇篮到大门,0.5629kgCO2e / 千瓦时,-,2021,核心数据库,否
34170R0152022C,煤制聚丙烯（GLLMTP工艺）,摇篮到大门,7.4tCO2e / 公吨,-,2022,核心数据库,否
17100H2752021C,2021 年南方区域电力平均二氧化碳排放因子,摇篮到大门,0.4326kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2702021C,2021 年华北区域电力平均二氧化碳排放因子,摇篮到大门,0.712kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2732021C,2021 年华中区域电力平均二氧化碳排放因子,摇篮到大门,0.5354kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2722021C,2021 年华东区域电力平均二氧化碳排放因子,摇篮到大门,0.5992kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2692021C,2021 年全国电力平均二氧化碳排放因子,摇篮到大门,0.5568kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2712021C,2021 年东北区域电力平均二氧化碳排放因子,摇篮到大门,0.6012kgCO2e / 千瓦时,-,2021,核心数据库,否
34170R0142022C,煤制聚丙烯（HDDMTO工艺）,摇篮到大门,7.95tCO2e / 公吨,-,2022,核心数据库,否
17100H3072021C,2021年全国电力平均二氧化碳排放因子（不包括市场化交易的非化石能源电量）,摇篮到大门,0.5942kgCO2e / 千瓦时,-,2021,核心数据库,否
04312X0012022C,中华绒螯蟹-成蟹,摇篮到大门,11.746kgCO2e / 千克,-,2022,核心数据库,否
17100H2782021C,2021 年天津市电力平均二氧化碳排放因子,摇篮到大门,0.7355kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3082021C,2021年全国化石能源电力二氧化碳排放因子,摇篮到大门,0.8426kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3012021C,2021年云南省电力平均二氧化碳排放因子,摇篮到大门,0.1235kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2852021C,2021年上海市电力平均二氧化碳排放因子,摇篮到大门,0.5834kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2842021C,2021 年黑龙江省电力平均二氧化碳排放因子,摇篮到大门,0.6342kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2742021C,2021 年西北区域电力平均二氧化碳排放因子,摇篮到大门,0.5951kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2792021C,2021 年河北省电力平均二氧化碳排放因子,摇篮到大门,0.7901kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2832021C,2021 年吉林省电力平均二氧化碳排放因子,摇篮到大门,0.5629kgCO2e / 千瓦时,-,2021,核心数据库,否
34170R0152022C,煤制聚丙烯（GLLMTP工艺）,摇篮到大门,7.4tCO2e / 公吨,-,2022,核心数据库,否
17100H2752021C,2021 年南方区域电力平均二氧化碳排放因子,摇篮到大门,0.4326kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2702021C,2021 年华北区域电力平均二氧化碳排放因子,摇篮到大门,0.712kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2732021C,2021 年华中区域电力平均二氧化碳排放因子,摇篮到大门,0.5354kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2722021C,2021 年华东区域电力平均二氧化碳排放因子,摇篮到大门,0.5992kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2692021C,2021 年全国电力平均二氧化碳排放因子,摇篮到大门,0.5568kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2712021C,2021 年东北区域电力平均二氧化碳排放因子,摇篮到大门,0.6012kgCO2e / 千瓦时,-,2021,核心数据库,否
34170R0142022C,煤制聚丙烯（HDDMTO工艺）,摇篮到大门,7.95tCO2e / 公吨,-,2022,核心数据库,否
17100H3072021C,2021年全国电力平均二氧化碳排放因子（不包括市场化交易的非化石能源电量）,摇篮到大门,0.5942kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2812021C,2021年内蒙古电力平均二氧化碳排放因子,摇篮到大门,0.7025kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2772021C,2021年北京市电力平均二氧化碳排放因子,摇篮到大门,0.5688kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2992021C,2021年四川省电力平均二氧化碳排放因子,摇篮到大门,0.1255kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3052021C,2021年宁夏省电力平均二氧化碳排放因子,摇篮到大门,0.6546kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2882021C,2021年安徽省电力平均二氧化碳排放因子,摇篮到大门,0.7075kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2912021C,2021年山东省电力平均二氧化碳排放因子,摇篮到大门,0.6838kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2802021C,2021年山西省电力平均二氧化碳排放因子,摇篮到大门,0.7222kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2952021C,2021年广东省电力平均二氧化碳排放因子,摇篮到大门,0.4715kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2962021C,2021年广西省电力平均二氧化碳排放因子,摇篮到大门,0.5154kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3062021C,2021年新疆电力平均二氧化碳排放因子,摇篮到大门,0.6577kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2862021C,2021年江苏省电力平均二氧化碳排放因子,摇篮到大门,0.6451kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2902021C,2021年江西省电力平均二氧化碳排放因子,摇篮到大门,0.5835kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2922021C,2021年河南省电力平均二氧化碳排放因子,摇篮到大门,0.6369kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2872021C,2021年浙江省电力平均二氧化碳排放因子,摇篮到大门,0.5422kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2972021C,2021年海南省电力平均二氧化碳排放因子,摇篮到大门,0.4524kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2932021C,2021年湖北省电力平均二氧化碳排放因子,摇篮到大门,0.3672kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2942021C,2021年湖南省电力平均二氧化碳排放因子,摇篮到大门,0.5138kgCO2e / 千瓦时,-,2021,核心数据库,否
