产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
01131X0032016C,大米-湖北赤壁,摇篮到坟墓,4555.52kgCO2e / 公吨,-,2016,核心数据库,否
65125X0012018C,铁路（综合货运）,大门到大门,0.008kgCO2e / 公吨·公里,-,2018,核心数据库,否
64210X0242018C,铁路（综合客运）,大门到大门,0.027kgCO2e / 人·千米,-,2018,核心数据库,否
65119X0082019C,中型汽油货车运输(载重8t),摇篮到坟墓,0.115kgCO2e / 公吨·公里,-,2019,核心数据库,否
65129X0022019C,铁路运输(中国市场平均),摇篮到坟墓,0.01kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0172019C,电力机车运输,摇篮到坟墓,0.01kgCO2e / 公吨·公里,-,2019,核心数据库,否
65117X0122019C,内燃机车运输,摇篮到坟墓,0.011kgCO2e / 公吨·公里,-,2019,核心数据库,否
65212X0012019C,液货船运输(载重 2000t),摇篮到坟墓,0.019kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0102019C,重型汽油货车运输(载重18t),摇篮到坟墓,0.104kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0092019C,重型汽油货车运输(载重10t),摇篮到坟墓,0.104kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0162019C,重型柴油货车运输(载重46t),摇篮到坟墓,0.057kgCO2e / 公吨·公里,-,2019,核心数据库,否
65229X0012019C,干散货船运输(载重 2500t),摇篮到坟墓,0.015kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0142019C,重型柴油货车运输(载重 18t),摇篮到坟墓,0.129kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0152019C,重型柴油货车运输(载重 30t),摇篮到坟墓,0.078kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0112019C,轻型柴油货车运输 (载重 2t),摇篮到坟墓,0.286kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0122019C,中型柴油货车运输(载重8t),摇篮到坟墓,0.179kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0072019C,轻型汽油货车运输(载重 2t),摇篮到坟墓,0.334kgCO2e / 公吨·公里,-,2019,核心数据库,否
65119X0132019C,重型柴油货车运输(载重 10t),摇篮到坟墓,0.162kgCO2e / 公吨·公里,-,2019,核心数据库,否
17100A0042020C,火力发电,摇篮到大门,0.877kgCO2e / 千瓦时,-,2020,核心数据库,否
49113X0222020C,A级汽油车-SUV,摇篮到坟墓,225.52gCO2e / 千米,-,2020,核心数据库,否
49113X0232020C,A0级汽油车-SUV,摇篮到坟墓,229.51gCO2e / 千米,-,2020,核心数据库,否
